scene_id,dataset,reference_type,metric,expected_direction,n,spearman,pearson,best_cosine_method,best_metric_method
mipnerf360_bicycle,mipnerf360,colmap_sparse_full_scene,fscore_tau0p02,positive,6,-0.6,-0.517817,random_seed001,random_seed000
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,accuracy_mean_norm,negative,6,-0.542857,-0.558455,random_seed001,random_seed001
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,accuracy_p90_norm,negative,6,-0.714286,-0.752332,random_seed001,random_seed003
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,completeness_mean_norm,negative,6,0.771429,0.691137,random_seed001,random_seed002
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,completeness_p90_norm,negative,6,0.542857,0.546714,random_seed001,random_seed002
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,chamfer_l1_norm,negative,6,-0.542857,-0.544067,random_seed001,random_seed001
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,chamfer_l2_norm_sq,negative,6,-0.085714,0.301913,random_seed001,random_seed001
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,precision_tau0p005,positive,6,0.771429,0.782104,random_seed001,random_seed003
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,recall_tau0p005,positive,6,-0.771429,-0.62098,random_seed001,random_seed002
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,fscore_tau0p005,positive,6,0.771429,0.79219,random_seed001,random_seed003
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,precision_tau0p01,positive,6,0.942857,0.747915,random_seed001,random_seed001
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,recall_tau0p01,positive,6,-0.371429,-0.401482,random_seed001,random_seed004
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,fscore_tau0p01,positive,6,0.828571,0.7442,random_seed001,random_seed001
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,precision_tau0p02,positive,6,0.714286,0.719341,random_seed001,random_seed003
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,recall_tau0p02,positive,6,-0.971008,-0.880714,random_seed001,random_seed000
mipnerf360_bonsai,mipnerf360,colmap_sparse_full_scene,fscore_tau0p02,positive,6,0.714286,0.690402,random_seed001,random_seed003
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,accuracy_mean_norm,negative,6,-0.485714,-0.32581,random_seed001,random_seed001
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,accuracy_p90_norm,negative,6,-0.771429,-0.849052,random_seed001,random_seed003
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,completeness_mean_norm,negative,6,0.428571,0.300178,random_seed001,random_seed002
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,completeness_p90_norm,negative,6,0.257143,0.175785,random_seed001,uniform
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,chamfer_l1_norm,negative,6,-0.485714,-0.115824,random_seed001,random_seed001
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,chamfer_l2_norm_sq,negative,6,0.028571,0.326898,random_seed001,random_seed001
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,precision_tau0p005,positive,6,0.885714,0.88481,random_seed001,random_seed001
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,recall_tau0p005,positive,6,-0.257143,-0.141234,random_seed001,uniform
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,fscore_tau0p005,positive,6,0.771429,0.901346,random_seed001,uniform
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,precision_tau0p01,positive,6,0.657143,0.841103,random_seed001,random_seed003
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,recall_tau0p01,positive,6,-0.257143,-0.282586,random_seed001,uniform
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,fscore_tau0p01,positive,6,0.428571,0.435529,random_seed001,uniform
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,precision_tau0p02,positive,6,0.231908,0.325572,random_seed001,random_seed004
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,recall_tau0p02,positive,6,-0.173931,-0.153602,random_seed001,uniform
mipnerf360_bonsai,mipnerf360,fastgs_full_train_images4,fscore_tau0p02,positive,6,0.314286,0.135686,random_seed001,random_seed004
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,accuracy_mean_norm,negative,6,0.085714,-0.025876,random_seed001,random_seed003
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,accuracy_p90_norm,negative,6,-0.2,-0.246375,random_seed001,random_seed003
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,completeness_mean_norm,negative,6,0.028571,-0.211376,random_seed001,random_seed004
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,completeness_p90_norm,negative,6,-0.085714,-0.104326,random_seed001,random_seed004
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,chamfer_l1_norm,negative,6,0.085714,-0.237334,random_seed001,random_seed000
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,chamfer_l2_norm_sq,negative,6,0.6,0.479023,random_seed001,random_seed000
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,precision_tau0p005,positive,6,0.371429,0.347578,random_seed001,random_seed003
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,recall_tau0p005,positive,6,0.371429,0.267906,random_seed001,uniform
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,fscore_tau0p005,positive,6,0.371429,0.492125,random_seed001,random_seed003
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,precision_tau0p01,positive,6,0.371429,0.269609,random_seed001,random_seed003
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,recall_tau0p01,positive,6,0.2,0.316049,random_seed001,uniform
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,fscore_tau0p01,positive,6,0.314286,0.608988,random_seed001,random_seed003
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,precision_tau0p02,positive,6,-0.257143,0.158407,random_seed001,random_seed003
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,recall_tau0p02,positive,6,-0.144943,0.127657,random_seed001,random_seed004
mipnerf360_counter,mipnerf360,colmap_sparse_full_scene,fscore_tau0p02,positive,6,-0.314286,0.312941,random_seed001,uniform
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,accuracy_mean_norm,negative,6,0.485714,0.37624,random_seed001,random_seed002
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,accuracy_p90_norm,negative,6,-0.085714,-0.375816,random_seed001,random_seed002
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,completeness_mean_norm,negative,6,-0.714286,-0.505668,random_seed001,uniform
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,completeness_p90_norm,negative,6,-0.714286,-0.612104,random_seed001,uniform
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,chamfer_l1_norm,negative,6,0.485714,0.366674,random_seed001,random_seed002
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,chamfer_l2_norm_sq,negative,6,0.6,0.590373,random_seed001,random_seed002
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,precision_tau0p005,positive,6,0.142857,0.492357,random_seed001,random_seed003
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,recall_tau0p005,positive,6,0.771429,0.690393,random_seed001,random_seed001
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,fscore_tau0p005,positive,6,0.542857,0.610521,random_seed001,random_seed003
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,precision_tau0p01,positive,6,0.371429,0.520685,random_seed001,random_seed003
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,recall_tau0p01,positive,6,0.714286,0.436102,random_seed001,uniform
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,fscore_tau0p01,positive,6,0.542857,0.6079,random_seed001,random_seed003
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,precision_tau0p02,positive,6,0.085714,0.382616,random_seed001,random_seed002
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,recall_tau0p02,positive,6,0.485714,0.175393,random_seed001,random_seed001
mipnerf360_flowers,mipnerf360,colmap_sparse_full_scene,fscore_tau0p02,positive,6,0.085714,0.420915,random_seed001,random_seed002
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,accuracy_mean_norm,negative,6,0.257143,-0.025929,uniform,random_seed000
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,accuracy_p90_norm,negative,6,0.142857,-0.150312,uniform,random_seed000
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,completeness_mean_norm,negative,6,-0.6,-0.731496,uniform,uniform
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,completeness_p90_norm,negative,6,-0.885714,-0.769747,uniform,uniform
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,chamfer_l1_norm,negative,6,-0.314286,-0.177317,uniform,random_seed000
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,chamfer_l2_norm_sq,negative,6,-0.314286,-0.063356,uniform,random_seed000
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,precision_tau0p005,positive,6,-0.142857,0.072355,uniform,random_seed000
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,recall_tau0p005,positive,6,0.942857,0.966689,uniform,uniform
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,fscore_tau0p005,positive,6,0.371429,0.295861,uniform,random_seed000
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,precision_tau0p01,positive,6,-0.085714,0.117713,uniform,random_seed000
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,recall_tau0p01,positive,6,0.885714,0.81263,uniform,uniform
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,fscore_tau0p01,positive,6,0.2,0.268893,uniform,random_seed000
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,precision_tau0p02,positive,6,-0.2,0.056484,uniform,random_seed000
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,recall_tau0p02,positive,6,0.142857,0.361553,uniform,random_seed001
mipnerf360_garden,mipnerf360,colmap_sparse_full_scene,fscore_tau0p02,positive,6,-0.2,0.09582,uniform,random_seed000
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,accuracy_mean_norm,negative,6,0.6,0.549435,uniform,random_seed002
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,accuracy_p90_norm,negative,6,0.657143,0.488093,uniform,random_seed004
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,completeness_mean_norm,negative,6,-0.6,-0.570714,uniform,uniform
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,completeness_p90_norm,negative,6,-0.485714,-0.47404,uniform,uniform
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,chamfer_l1_norm,negative,6,0.657143,0.546622,uniform,random_seed004
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,chamfer_l2_norm_sq,negative,6,0.6,0.50645,uniform,random_seed004
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,precision_tau0p005,positive,6,-0.771429,-0.527196,uniform,random_seed002
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,recall_tau0p005,positive,6,0.463817,0.581499,uniform,random_seed001
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,fscore_tau0p005,positive,6,-0.771429,-0.519542,uniform,random_seed002
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,precision_tau0p01,positive,6,-0.637748,-0.504355,uniform,random_seed002
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,recall_tau0p01,positive,6,0.521794,0.46631,uniform,uniform
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,fscore_tau0p01,positive,6,-0.657143,-0.502913,uniform,random_seed004
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,precision_tau0p02,positive,6,-0.6,-0.496464,uniform,random_seed002
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,recall_tau0p02,positive,6,0.347863,0.656028,uniform,random_seed004
