scene_id,dataset,method,image_count,reference_type,register_mean_cosine,psnr,ssim,lpips,reference_scale,subset_points_raw,reference_points_raw,subset_points_sampled,reference_points_sampled,accuracy_mean_norm,accuracy_p90_norm,completeness_mean_norm,completeness_p90_norm,chamfer_l1_norm,chamfer_l2_norm_sq,precision_tau0p005,recall_tau0p005,fscore_tau0p005,precision_tau0p01,recall_tau0p01,fscore_tau0p01,precision_tau0p02,recall_tau0p02,fscore_tau0p02
mipnerf360_bonsai,mipnerf360,random_seed001,51,colmap_sparse_full_scene,0.99795,27.786301,0.903937,0.149501,51.79171,171851,206613,8000,8000,0.0067892,0.01827294,0.00210478,0.00546913,0.00444699,0.0001747685,0.685125,0.885125,0.77238817,0.817875,0.97325,0.88882333,0.911,0.994875,0.95109189
mipnerf360_bonsai,mipnerf360,random_seed002,51,colmap_sparse_full_scene,0.969989,27.67189,0.908474,0.148431,51.79171,173306,206613,8000,8000,0.00809028,0.02165269,0.00202459,0.00519982,0.00505744,0.0001999673,0.658125,0.89275,0.75768981,0.7865,0.975125,0.87071404,0.890125,0.997375,0.94070296
mipnerf360_bonsai,mipnerf360,random_seed003,51,colmap_sparse_full_scene,0.986276,26.899822,0.888649,0.162089,51.79171,169750,206613,8000,8000,0.00838966,0.0180392,0.00206036,0.00536777,0.00522501,0.0016590127,0.687625,0.88675,0.77459496,0.816,0.97275,0.88750692,0.91525,0.996375,0.95409112
mipnerf360_bonsai,mipnerf360,random_seed004,51,colmap_sparse_full_scene,0.971542,27.43549,0.892653,0.150779,51.79171,174083,206613,8000,8000,0.00778289,0.01980872,0.00203364,0.00531615,0.00490827,0.0003087918,0.66125,0.889125,0.7584409,0.79425,0.977,0.87619732,0.9015,0.997375,0.94701712
mipnerf360_bonsai,mipnerf360,uniform,51,colmap_sparse_full_scene,0.996757,28.988317,0.916686,0.135639,51.79171,175694,206613,8000,8000,0.00797041,0.01998406,0.00204761,0.0052457,0.00500901,0.0008176076,0.67075,0.890875,0.76529821,0.795375,0.974,0.87567107,0.90025,0.996375,0.94587659
mipnerf360_bonsai,mipnerf360,random_seed000,51,fastgs_full_train_images4,0.961888,27.937513,0.906525,0.146475,118.069977,173082,211923,8000,8000,0.00220721,0.00513099,0.00192716,0.00459763,0.00206718,4.1877e-05,0.897125,0.91375,0.90536119,0.96975,0.98125,0.97546611,0.995375,0.99625,0.99581231
mipnerf360_bonsai,mipnerf360,random_seed001,51,fastgs_full_train_images4,0.99795,27.786301,0.903937,0.149501,118.069977,171851,211923,8000,8000,0.00186655,0.00449146,0.00204122,0.00478407,0.00195388,2.70459e-05,0.91625,0.90675,0.91147525,0.977,0.976,0.97649974,0.996625,0.996,0.9963124
mipnerf360_bonsai,mipnerf360,random_seed002,51,fastgs_full_train_images4,0.969989,27.67189,0.908474,0.148431,118.069977,173306,211923,8000,8000,0.00221584,0.005023,0.00189752,0.00454375,0.00205668,3.11765e-05,0.89975,0.91425,0.90694205,0.971,0.981375,0.97615993,0.9915,0.99675,0.99411807
mipnerf360_bonsai,mipnerf360,random_seed003,51,fastgs_full_train_images4,0.986276,26.899822,0.888649,0.162089,118.069977,169750,211923,8000,8000,0.00245008,0.00447827,0.00218007,0.00490563,0.00231508,0.0002309467,0.914625,0.902375,0.90845871,0.977875,0.968375,0.97310181,0.995375,0.99175,0.99355919
mipnerf360_bonsai,mipnerf360,random_seed004,51,fastgs_full_train_images4,0.971542,27.43549,0.892653,0.150779,118.069977,174083,211923,8000,8000,0.00213673,0.00504828,0.00201294,0.00472007,0.00207483,6.07509e-05,0.8985,0.9095,0.90396654,0.968375,0.979625,0.97396751,0.996875,0.996,0.99643731
mipnerf360_bonsai,mipnerf360,uniform,51,fastgs_full_train_images4,0.996757,28.988317,0.916686,0.135639,118.069977,175694,211923,8000,8000,0.00216749,0.00476884,0.00190088,0.0044613,0.00203419,0.0001173956,0.908375,0.919125,0.91371838,0.975,0.98325,0.97910762,0.99525,0.996875,0.99606184
mipnerf360_counter,mipnerf360,random_seed000,42,colmap_sparse_full_scene,0.981133,24.696026,0.822051,0.189158,38.57608,151240,155767,8000,8000,0.00439274,0.01040525,0.00169021,0.00328537,0.00304148,6.55269e-05,0.81475,0.94,0.87290497,0.89625,0.9805,0.93648395,0.9505,0.995875,0.9726586
mipnerf360_counter,mipnerf360,random_seed001,42,colmap_sparse_full_scene,0.998243,24.152718,0.811526,0.198917,38.57608,148105,155767,8000,8000,0.00448146,0.00983134,0.00168201,0.0032188,0.00308174,0.000172625,0.83,0.94175,0.88235078,0.900875,0.980125,0.93883053,0.950875,0.994625,0.97225808
mipnerf360_counter,mipnerf360,random_seed002,42,colmap_sparse_full_scene,0.981754,24.579723,0.827256,0.18663,38.57608,148531,155767,8000,8000,0.00474542,0.01096427,0.00165977,0.00324201,0.0032026,0.0001399255,0.8085,0.944,0.8710117,0.890875,0.982875,0.93461643,0.949375,0.99575,0.97200967
mipnerf360_counter,mipnerf360,random_seed003,42,colmap_sparse_full_scene,0.97913,23.105387,0.786754,0.213479,38.57608,148396,155767,8000,8000,0.00422137,0.00897361,0.00191121,0.00341409,0.00306629,0.0001222888,0.840875,0.934125,0.88505055,0.9095,0.97325,0.94029571,0.95625,0.990375,0.97301339
mipnerf360_counter,mipnerf360,random_seed004,42,colmap_sparse_full_scene,0.971612,24.589781,0.824037,0.192134,38.57608,152235,155767,8000,8000,0.00461705,0.01095053,0.00162681,0.00314417,0.00312193,0.0001039978,0.80675,0.94325,0.8696765,0.890125,0.98175,0.93369506,0.951375,0.996375,0.97335517
mipnerf360_counter,mipnerf360,uniform,42,colmap_sparse_full_scene,0.998071,25.650854,0.852614,0.170977,38.57608,156272,155767,8000,8000,0.00452338,0.01027487,0.00163213,0.00321603,0.00307776,0.0001114524,0.82025,0.944125,0.87783893,0.897875,0.984625,0.93925118,0.955125,0.996375,0.97531404
mipnerf360_flowers,mipnerf360,random_seed000,31,colmap_sparse_full_scene,0.983067,16.368181,0.371326,0.430561,152.454742,728093,38347,8000,8000,0.01694269,0.03445666,0.00259698,0.00606297,0.00976984,0.0017008865,0.586375,0.858625,0.69685292,0.7645,0.96575,0.85342104,0.86175,0.991875,0.92224509
mipnerf360_flowers,mipnerf360,random_seed001,31,colmap_sparse_full_scene,0.997643,15.976073,0.344582,0.445599,152.454742,735538,38347,8000,8000,0.02669219,0.03553234,0.00236688,0.00537,0.01452954,0.0042498206,0.58425,0.887,0.70447545,0.769,0.976625,0.86046502,0.856125,0.996,0.92078072
mipnerf360_flowers,mipnerf360,random_seed002,31,colmap_sparse_full_scene,0.990401,16.59837,0.379996,0.421708,152.454742,708100,38347,8000,8000,0.01554506,0.02233054,0.00280943,0.00625558,0.00917724,0.0011726577,0.58825,0.85725,0.69772025,0.771125,0.95625,0.85376746,0.891875,0.985625,0.93640937
mipnerf360_flowers,mipnerf360,random_seed003,31,colmap_sparse_full_scene,0.994057,16.162481,0.363177,0.429152,152.454742,728037,38347,8000,8000,0.02559075,0.04146272,0.00254855,0.0057523,0.01406965,0.0044086815,0.632125,0.87175,0.73284677,0.796,0.969625,0.87427568,0.86925,0.991,0.92614084
mipnerf360_flowers,mipnerf360,random_seed004,31,colmap_sparse_full_scene,0.975503,15.581346,0.339202,0.450978,152.454742,780955,38347,8000,8000,0.0222732,0.05954961,0.00259365,0.00588853,0.01243343,0.001786856,0.525875,0.865625,0.65427315,0.699125,0.96925,0.81231966,0.802875,0.992375,0.88762354
mipnerf360_flowers,mipnerf360,uniform,31,colmap_sparse_full_scene,0.997637,16.169456,0.368973,0.430901,152.454742,762898,38347,8000,8000,0.0215558,0.04871417,0.00234724,0.00531708,0.01195152,0.0024177779,0.5535,0.886625,0.68153381,0.72675,0.980625,0.83481276,0.823875,0.993,0.90056594
mipnerf360_garden,mipnerf360,random_seed000,33,colmap_sparse_full_scene,0.996302,23.138044,0.731805,0.240438,123.105095,486129,138766,8000,8000,0.00302022,0.00567399,0.00150589,0.00274903,0.00226306,4.83129e-05,0.886625,0.97625,0.92928152,0.94775,0.992,0.96937028,0.978,0.998375,0.98808247
mipnerf360_garden,mipnerf360,random_seed001,33,colmap_sparse_full_scene,0.991732,22.850098,0.710128,0.251962,123.105095,524129,138766,8000,8000,0.00549202,0.01161583,0.00145362,0.00305981,0.00347282,0.0001222961,0.8255,0.9715,0.892569,0.889125,0.9945,0.93886502,0.9365,0.99975,0.96709193
mipnerf360_garden,mipnerf360,random_seed002,33,colmap_sparse_full_scene,0.997549,23.377222,0.735068,0.238062,123.105095,498015,138766,8000,8000,0.00386407,0.00655422,0.00158488,0.00272301,0.00272448,7.54074e-05,0.8685,0.982875,0.92215455,0.92575,0.995625,0.95941692,0.9595,0.996375,0.97758989
mipnerf360_garden,mipnerf360,random_seed003,33,colmap_sparse_full_scene,0.989827,23.087576,0.723556,0.247775,123.105095,479434,138766,8000,8000,0.00372306,0.00616265,0.0019411,0.00285213,0.00283208,0.0001259343,0.876,0.967375,0.9194228,0.935375,0.986125,0.9600798,0.968125,0.995875,0.98180396
mipnerf360_garden,mipnerf360,random_seed004,33,colmap_sparse_full_scene,0.997511,23.30559,0.717587,0.24604,123.105095,512830,138766,8000,8000,0.00599177,0.01040091,0.00138161,0.00274977,0.00368669,0.0002518236,0.833,0.983875,0.9021731,0.897375,0.996625,0.94439953,0.935875,0.999625,0.96670013
mipnerf360_garden,mipnerf360,uniform,33,colmap_sparse_full_scene,0.999366,23.83798,0.742056,0.232705,123.105095,496074,138766,8000,8000,0.00407751,0.00704432,0.00134158,0.00270651,0.00270954,7.92062e-05,0.862625,0.9845,0.91954179,0.92825,0.998,0.96186217,0.963375,0.9995,0.98110508
mipnerf360_kitchen,mipnerf360,random_seed000,49,colmap_sparse_full_scene,0.997003,27.281368,0.902087,0.110868,65.437248,218324,241367,8000,8000,0.0048509,0.01044856,0.00067537,0.00104749,0.00276314,0.0001555791,0.859,0.99075,0.920183,0.896875,0.99625,0.94395428,0.938875,0.998375,0.96771127
mipnerf360_kitchen,mipnerf360,random_seed001,49,colmap_sparse_full_scene,0.998852,26.716864,0.895007,0.118891,65.437248,220179,241367,8000,8000,0.00582723,0.01223711,0.00066246,0.00103408,0.00324485,0.0002948874,0.84575,0.992875,0.9134261,0.885,0.99675,0.9375568,0.931,0.998875,0.9637439
mipnerf360_kitchen,mipnerf360,random_seed002,49,colmap_sparse_full_scene,0.996151,27.602648,0.898774,0.115104,65.437248,228554,241367,8000,8000,0.00478787,0.00973109,0.00067358,0.00104628,0.00273073,0.0001824006,0.8675,0.990625,0.92498318,0.90175,0.9965,0.94676031,0.94175,0.998625,0.96935396
mipnerf360_kitchen,mipnerf360,random_seed003,49,colmap_sparse_full_scene,0.987618,26.64579,0.889352,0.125546,65.437248,225522,241367,8000,8000,0.00499523,0.01082602,0.00068292,0.00104426,0.00283907,0.0002075402,0.85925,0.990875,0.92038035,0.894625,0.996375,0.94276254,0.937875,0.998,0.96700381
mipnerf360_kitchen,mipnerf360,random_seed004,49,colmap_sparse_full_scene,0.993128,27.606831,0.896846,0.119337,65.437248,222924,241367,8000,8000,0.00480006,0.0096596,0.00065557,0.00103641,0.00272782,0.0001531671,0.86025,0.990875,0.92095371,0.90175,0.99675,0.94687312,0.93925,0.999,0.96820405
mipnerf360_kitchen,mipnerf360,uniform,49,colmap_sparse_full_scene,0.999272,28.188911,0.9137,0.10364,65.437248,234933,241367,8000,8000,0.00731349,0.01947274,0.00065318,0.0010165,0.00398333,0.0004457462,0.8205,0.99225,0.89823873,0.85825,0.997,0.9224366,0.901375,0.998875,0.94762368
mipnerf360_room,mipnerf360,random_seed000,55,colmap_sparse_full_scene,0.994489,28.151455,0.894629,0.168967,56.32,139284,112627,8000,8000,0.00543552,0.01274338,0.00182669,0.00338593,0.0036311,8.68274e-05,0.777,0.95525,0.85695396,0.878875,0.988,0.93024814,0.93325,0.996125,0.96366301
mipnerf360_room,mipnerf360,random_seed001,55,colmap_sparse_full_scene,0.995027,27.834946,0.888555,0.175984,56.32,136366,112627,8000,8000,0.00478552,0.0095546,0.0017933,0.00331947,0.00328941,9.48968e-05,0.806875,0.962125,0.87768752,0.904125,0.988375,0.94437469,0.95875,0.995625,0.97683962
